timestamp,active_power,reactive_power,apparent_power,current,voltage,power_factor
1519171330,253918.9,181371.3,312049.4,1464.717,424.948,0.813713790188348
1519171398,290965,193989.1,350024,1668.092,416.902,0.831271569949489
1519171418,289897,195036.3,349645,1665.946,416.964,0.829118105507014
1519171466,267653.6,185603.7,325846,1536.651,421.807,0.821411341553986
1519171663,283000.4,191716.2,341975,1622.365,418.863,0.827547042912494
1519171670,286761,195043.4,347064,1651.413,417.651,0.826248184772837
1519171671,282857,194268.2,343425,1632.619,418.007,0.823635437140569
1519171761,223284.9,172808.1,283619.8,1317.923,432.158,0.78726837830081
1519172152,285487,190688.2,343528,1635.752,417.299,0.831044339908246
1519172196,280367,189022.1,338342,1606.228,418.728,0.82864970946557
1519172485,273584,186814.6,331475,1567.693,420.526,0.825353344897805
1519172494,269554.3,188630.1,329128,1558.095,420.263,0.818995345276002
1519172571,192918.7,169900.4,263721.5,1224.513,433.966,0.731524354290416
1519172768,178850.8,161647.7,242399,1119.576,431.101,0.737836377212777
1519173590,238671.5,172801.3,294665.8,1364.903,429.798,0.80997353612126
1519174028,227003.3,173144.3,285631.1,1325.317,430.661,0.794742939406808
1519174061,129767,143346.1,193519.5,876.063,440.779,0.670562914848374
1519174089,169438.9,152176,228584.7,1049.163,433.773,0.741252148547125
1519174106,171394.8,152404,230614.3,1059.695,433.323,0.74320976626341
1519174430,228056.6,174792.2,288510,1351.381,424.624,0.790463415479533
1519174682,266328.3,184848.5,324545,1524.05,423.056,0.820620561093223
1519174804.00001,186265.134633601,164711.314908486,255562.104141117,1171.87757213299,438.259103945529,0.72884489372786
1519175409,280486,187770.4,337784,1598.671,419.513,0.830370887904696
1519175473,281718.3,189945.1,339940,1599.011,422.618,0.828729481673236
1519175852,263050.7,183356.7,320659.9,1496.271,427.04,0.820341739020065
1519175906,286343.3,189887.8,343775,1617.819,421.98,0.832938113591739
1519176883,255495.6,181510.5,313759,1466.296,425.178,0.814305247020803
1519177915,282683.9,190646.9,341117,1609.226,421.216,0.828700709727161
1519177949,278886.3,188335.6,336675,1587.017,421.472,0.828354644687013
1519178328,263111.9,182068.6,319988.9,1499.812,425.006,0.822253209408201
1519178565,247657.8,176500.7,304119.6,1416.137,428.113,0.814343435937704
1519178993,210780.2,171004.8,273878.3,1264.617,434.929,0.769612634516864
1519179064,247456.8,178824.5,305332,1421.558,428.757,0.810451574024341
1519179795,166398.4,153839.9,227272.8,1035.698,436.741,0.732152725711128
1519179928,253555.2,180135.7,311361,1452.704,425.735,0.81434476379508
1519180000,174889.3,165748,247169.7,1126.485,440.299,0.707567715622101
1519180068,251777.4,183727.8,311913.3,1452.689,426.973,0.807203155492247
1519180261,228731.3,170783.2,285606.2,1317.091,432.862,0.800862516289912
1519180625,285179,190583.1,343439,1622.268,420.513,0.830362888314956
1519180778,182584.3,155335.6,241027.6,1110.542,431.865,0.757524449482134
1519180856,207093,165504.7,266975,1249.634,426.009,0.775701844742017
1519180931,162768,153932.5,224338.7,1023.67,436.56,0.725545793035263
1519181345,211145,174470.6,276721,1299.463,424.68,0.763024851745982
1519181733,160666.5,158265.3,231276.8,1056.022,438.877,0.694693544704873
