# Bin Center, Frequency Count, Left Edges, Right Edges
-2.434386445783132331e+03,8.000000000000000000e+00,-3.463710000000000036e+03,-1.405062891566265080e+03
-3.757393373493976014e+02,1.294180000000000000e+05,-1.405062891566265080e+03,6.535842168674698769e+02
1.682907771084337128e+03,1.970200000000000000e+04,6.535842168674698769e+02,2.712231325301204379e+03
3.741554879518072084e+03,1.467200000000000000e+04,2.712231325301204379e+03,4.770878433734939790e+03
5.800201987951807496e+03,5.589000000000000000e+03,4.770878433734939790e+03,6.829525542168675202e+03
7.858849096385541998e+03,2.182000000000000000e+03,6.829525542168675202e+03,8.888172650602409703e+03
9.917496204819277409e+03,1.086000000000000000e+03,8.888172650602409703e+03,1.094681975903614511e+04
1.197614331325301282e+04,7.890000000000000000e+02,1.094681975903614511e+04,1.300546686746988053e+04
1.403479042168674823e+04,6.450000000000000000e+02,1.300546686746988053e+04,1.506411397590361594e+04
1.609343753012048364e+04,5.330000000000000000e+02,1.506411397590361594e+04,1.712276108433735135e+04
1.815208463855421724e+04,5.200000000000000000e+02,1.712276108433735135e+04,1.918140819277108676e+04
2.021073174698795265e+04,5.610000000000000000e+02,1.918140819277108676e+04,2.124005530120481853e+04
2.226937885542168806e+04,5.950000000000000000e+02,2.124005530120481853e+04,2.329870240963855395e+04
2.432802596385541983e+04,5.810000000000000000e+02,2.329870240963855395e+04,2.535734951807228936e+04
2.638667307228915888e+04,6.410000000000000000e+02,2.535734951807228936e+04,2.741599662650602477e+04
2.844532018072289065e+04,6.720000000000000000e+02,2.741599662650602477e+04,2.947464373493976018e+04
3.050396728915662607e+04,7.470000000000000000e+02,2.947464373493976018e+04,3.153329084337349195e+04
3.256261439759036148e+04,8.610000000000000000e+02,3.153329084337349195e+04,3.359193795180723100e+04
3.462126150602409325e+04,9.230000000000000000e+02,3.359193795180723100e+04,3.565058506024096278e+04
3.667990861445783230e+04,1.012000000000000000e+03,3.565058506024096278e+04,3.770923216867470182e+04
3.873855572289157135e+04,1.036000000000000000e+03,3.770923216867470182e+04,3.976787927710843360e+04
4.079720283132530312e+04,1.031000000000000000e+03,3.976787927710843360e+04,4.182652638554217265e+04
