Timestamp, Aggregate_Active_Power, Estimates...
23-Oct-2017 12:32:19,0.4215,0.3663,0.1249
26-Oct-2017 19:30:50,0.0,0.0,0.0
24-Oct-2017 12:00:03,0.8622,0.4869,0.3604
24-Oct-2017 22:55:03,0.0,0.0,0.0
24-Oct-2017 12:57:09,0.8223,0.475,0.3369
24-Oct-2017 10:51:35,1.0705,0.5516,0.4897
24-Oct-2017 10:45:05,0.6117,0.4154,0.2202
23-Oct-2017 14:35:45,0.7073,0.4196,0.2599
24-Oct-2017 12:48:06,0.8403,0.4803,0.3475
24-Oct-2017 12:47:52,0.9009,0.4985,0.3836
27-Oct-2017 11:31:10,0.0,0.0,0.0
28-Oct-2017 00:29:40,0.0,0.0,0.0
26-Oct-2017 08:37:24,0.914,0.0084,0.9545
24-Oct-2017 10:34:03,1.56,0.7168,0.8319
24-Oct-2017 10:51:30,1.073,0.5524,0.4914
26-Oct-2017 08:45:36,2.1116,-0.0034,1.93
24-Oct-2017 13:13:35,0.9227,0.5052,0.3968
23-Oct-2017 10:48:57,2.0968,0.8981,1.2318
24-Oct-2017 10:48:47,1.0347,0.5402,0.4667
24-Oct-2017 21:06:56,0.0,0.0,0.0
26-Oct-2017 08:36:06,1.6356,0.0022,1.6832
28-Oct-2017 12:31:09,0.0,0.0,0.0
23-Oct-2017 10:49:08,2.1652,0.9194,1.2811
26-Oct-2017 09:57:51,0.5573,0.4009,0.1919
24-Oct-2017 10:34:27,1.494,0.6939,0.7834
26-Oct-2017 11:44:47,0.5462,0.3723,0.1523
26-Oct-2017 08:45:21,2.0993,-0.0034,1.9255
26-Oct-2017 06:44:48,0.0,0.0,0.0
23-Oct-2017 12:12:01,0.7321,0.4488,0.2854
24-Oct-2017 09:45:36,1.7877,-0.0005,1.7806
24-Oct-2017 13:05:00,0.9202,0.5044,0.3953
24-Oct-2017 10:34:16,1.5259,0.7049,0.8068
24-Oct-2017 10:35:48,1.3109,0.6311,0.6521
24-Oct-2017 09:18:11,1.1359,0.0093,1.2209
24-Oct-2017 12:16:45,0.8244,0.4756,0.3382
26-Oct-2017 11:27:36,0.528,0.3671,0.1406
24-Oct-2017 12:33:33,0.8723,0.4899,0.3664
24-Oct-2017 10:40:29,0.8456,0.4819,0.3506
24-Oct-2017 05:59:29,0.0,0.0,0.0
24-Oct-2017 10:51:43,1.2574,0.613,0.6149
25-Oct-2017 22:00:00,0.0,0.0,0.0
25-Oct-2017 11:58:11,0.24,0.2901,-0.0316
24-Oct-2017 14:18:14,0.24,0.2901,-0.0316
23-Oct-2017 13:05:57,0.24,0.2901,-0.0316
