Timestamp, Aggregate_Active_Power, Estimates...
23-Oct-2017 12:32:19,0.4215,1.443,-2.1308
26-Oct-2017 19:30:50,0.0,0.0,0.0
24-Oct-2017 12:00:03,0.8622,0.4834,-1.0334
24-Oct-2017 22:55:03,0.0,0.0,0.0
24-Oct-2017 12:57:09,0.8223,0.6638,-1.4049
24-Oct-2017 10:51:35,1.0705,0.2665,-0.12
24-Oct-2017 10:45:05,0.6117,1.5253,-2.1231
23-Oct-2017 14:35:45,0.7073,1.2724,-0.0
24-Oct-2017 12:48:06,0.8403,0.5652,-1.2076
24-Oct-2017 12:47:52,0.9009,0.3609,-0.7352
27-Oct-2017 11:31:10,0.0,0.0,0.0
28-Oct-2017 00:29:40,0.0,0.0,0.0
26-Oct-2017 08:37:24,0.914,0.0,-0.6846
24-Oct-2017 10:34:03,1.56,1.084,2.0974
24-Oct-2017 10:51:30,1.073,0.2668,-0.1124
26-Oct-2017 08:45:36,2.1116,-0.0,2.1525
24-Oct-2017 13:13:35,0.9227,0.3373,-0.6496
23-Oct-2017 10:48:57,2.0968,-1.9575,2.1537
24-Oct-2017 10:48:47,1.0347,0.2615,-0.2263
24-Oct-2017 21:06:56,0.0,0.0,0.0
26-Oct-2017 08:36:06,1.6356,0.0,2.1369
28-Oct-2017 12:31:09,0.0,0.0,0.0
23-Oct-2017 10:49:08,2.1652,-2.115,2.147
26-Oct-2017 09:57:51,0.5573,1.5736,-2.1368
24-Oct-2017 10:34:27,1.494,1.1559,1.9631
26-Oct-2017 11:44:47,0.5462,1.5709,-0.0
26-Oct-2017 08:45:21,2.0993,-0.0,2.1535
26-Oct-2017 06:44:48,0.0,0.0,0.0
23-Oct-2017 12:12:01,0.7321,1.1733,-2.0145
24-Oct-2017 09:45:36,1.7877,0.0,2.1602
24-Oct-2017 13:05:00,0.9202,0.3401,-0.6598
24-Oct-2017 10:34:16,1.5259,1.0974,2.0559
24-Oct-2017 10:35:48,1.3109,0.8214,0.6666
24-Oct-2017 09:18:11,1.1359,0.0,0.0883
24-Oct-2017 12:16:45,0.8244,0.6493,-1.377
26-Oct-2017 11:27:36,0.528,1.563,-0.0
24-Oct-2017 12:33:33,0.8723,0.4444,-0.9455
24-Oct-2017 10:40:29,0.8456,0.5458,-1.1676
24-Oct-2017 05:59:29,0.0,0.0,0.0
24-Oct-2017 10:51:43,1.2574,0.4978,0.4951
25-Oct-2017 22:00:00,0.0,0.0,0.0
25-Oct-2017 11:58:11,0.24,0.5903,-0.0
24-Oct-2017 14:18:14,0.24,0.5903,-0.0
23-Oct-2017 13:05:57,0.24,0.5903,-0.0
23-Oct-2017 08:05:17,0.0,0.0,0.0
24-Oct-2017 10:49:23,1.0222,0.2596,-0.262
23-Oct-2017 10:44:35,0.4571,1.5025,-2.1338
26-Oct-2017 08:45:44,1.9148,-0.0,2.1649
28-Oct-2017 09:04:00,0.0,0.0,0.0
23-Oct-2017 14:39:57,0.35,1.235,-0.0
23-Oct-2017 14:38:28,0.619,1.5136,-0.0
27-Oct-2017 11:21:02,0.0,0.0,0.0
23-Oct-2017 13:17:35,0.24,0.5903,-0.0
24-Oct-2017 10:41:22,2.0162,-1.5308,2.1631
24-Oct-2017 12:25:36,0.882,0.4062,-0.8566
24-Oct-2017 10:31:48,1.9186,-0.6826,2.1649
28-Oct-2017 10:59:11,0.0,0.0,0.0
24-Oct-2017 14:03:23,0.2381,0.5751,-0.0
24-Oct-2017 11:51:45,0.8145,0.717,-1.5012
24-Oct-2017 14:47:55,0.24,0.5903,-0.0
26-Oct-2017 08:44:16,1.9483,-0.0,2.1654
25-Oct-2017 10:02:53,0.3271,1.1372,-0.0
23-Oct-2017 10:48:45,1.8694,-0.1647,2.1637
26-Oct-2017 08:44:00,1.8177,0.0,2.1618
23-Oct-2017 14:16:53,0.6748,1.3829,-0.0
26-Oct-2017 08:43:48,1.5816,0.0,2.1127
24-Oct-2017 10:47:45,1.1102,0.271,0.0045
23-Oct-2017 10:40:12,2.0028,-1.4396,2.1641
24-Oct-2017 09:17:03,0.9578,0.0,-0.4975
25-Oct-2017 12:02:39,0.25,0.6681,-0.0
24-Oct-2017 12:57:52,0.8835,0.4002,-0.8425
26-Oct-2017 08:36:30,1.47,0.0,1.8489
24-Oct-2017 19:01:19,0.0,0.0,0.0
24-Oct-2017 09:17:59,1.2462,0.0,0.4594
27-Oct-2017 11:41:54,0.0,0.0,0.0
24-Oct-2017 10:47:00,1.0876,0.2686,-0.0672
24-Oct-2017 13:23:56,0.8556,0.5085,-1.0884
25-Oct-2017 12:57:53,0.24,0.5903,-0.0
25-Oct-2017 10:53:44,0.29,0.9399,-0.0
27-Oct-2017 02:15:56,0.0,0.0,0.0
23-Oct-2017 12:15:50,0.5686,1.5747,-2.1367
24-Oct-2017 09:15:51,0.48,0.0,-2.1351
24-Oct-2017 10:49:10,1.035,0.2615,-0.2255
24-Oct-2017 07:52:01,0.0,0.0,0.0
28-Oct-2017 02:21:38,0.0,0.0,0.0
25-Oct-2017 10:51:24,0.37,1.3069,-0.0
24-Oct-2017 09:15:58,0.7372,0.0,-2.0002
24-Oct-2017 11:50:47,0.8177,0.6954,-1.4631
23-Oct-2017 15:16:20,0.24,0.5903,-0.0
27-Oct-2017 00:46:59,0.0,0.0,0.0
25-Oct-2017 12:01:28,0.24,0.5903,-0.0
24-Oct-2017 10:32:16,1.8312,0.1865,2.1624
24-Oct-2017 10:42:22,0.8481,0.5366,-1.1482
23-Oct-2017 15:09:07,0.2353,0.5525,-0.0
29-Oct-2017 01:21:12,0.0,0.0,0.0
27-Oct-2017 06:45:32,0.0,0.0,0.0
25-Oct-2017 13:57:48,0.32,1.1033,-0.0
24-Oct-2017 10:50:36,0.8934,0.3685,-0.7631
26-Oct-2017 17:55:27,0.0,0.0,0.0
24-Oct-2017 10:39:37,0.8902,0.3734,-0.7784
24-Oct-2017 18:17:17,0.0,0.0,0.0
24-Oct-2017 10:33:44,1.5829,1.0812,2.1135
23-Oct-2017 10:40:45,1.9659,-1.1239,2.1652
24-Oct-2017 10:34:01,1.5659,1.084,2.102
24-Oct-2017 23:11:17,0.0,0.0,0.0
23-Oct-2017 10:40:09,2.0975,-1.9603,2.1537
24-Oct-2017 14:22:46,0.2418,0.6046,-0.0
25-Oct-2017 09:20:42,0.16,-0.1477,-0.0
23-Oct-2017 23:15:05,0.0,0.0,0.0
26-Oct-2017 11:08:36,0.33,1.1505,-0.0
26-Oct-2017 10:15:05,0.6227,1.5073,-2.1209
24-Oct-2017 12:57:01,0.8601,0.4915,-1.0511
24-Oct-2017 10:46:28,1.1242,0.2722,0.0498
25-Oct-2017 23:33:10,0.0,0.0,0.0
23-Oct-2017 10:41:29,1.6571,1.0074,2.143
23-Oct-2017 03:38:52,0.0,0.0,0.0
28-Oct-2017 02:32:27,0.0,0.0,0.0
24-Oct-2017 10:37:30,1.402,1.2178,1.0838
24-Oct-2017 12:07:39,0.8386,0.5714,-1.2202
25-Oct-2017 11:54:32,0.24,0.5903,-0.0
26-Oct-2017 08:36:21,1.578,0.0,2.1104
29-Oct-2017 01:28:40,0.0,0.0,0.0
26-Oct-2017 08:43:31,1.5161,0.0,2.0329
24-Oct-2017 10:33:47,1.5881,1.0794,2.1165
24-Oct-2017 10:49:47,1.0522,0.2641,-0.1751
26-Oct-2017 11:48:33,0.4779,1.5263,-0.0
25-Oct-2017 08:41:51,0.0,0.0,0.0
26-Oct-2017 08:44:38,2.0586,-0.0,2.1583
24-Oct-2017 10:32:47,1.4919,1.1592,1.9549
24-Oct-2017 10:32:38,1.6968,0.9157,2.1509
23-Oct-2017 14:29:35,0.5843,1.5661,-0.0
26-Oct-2017 08:35:54,1.7768,0.0,2.1594
26-Oct-2017 08:45:23,2.1114,-0.0,2.1525
23-Oct-2017 06:44:15,0.0,0.0,0.0
27-Oct-2017 02:33:33,0.0,0.0,0.0
26-Oct-2017 08:35:19,2.0346,-0.0,2.1614
24-Oct-2017 10:39:32,0.8346,0.5857,-1.2492
25-Oct-2017 10:42:48,0.37,1.3069,-0.0
