Timestamp, Aggregate_Active_Power, Estimate_0, Estimate_1, Estimate_2, Estimate_3, Estimate_4, Estimate_5
31-Mar-2018 10:14:15, 105632, 157.293, 139.444, 398.537, 840.38, 83094.7, 90149.2
18-Jan-2018 21:19:56, 0, 0, 0, 0, 0, 0, 0
27-Mar-2018 00:37:50, 185581, 193.253, 145.316, 461.997, 967.432, 91707.8, 114111
13-Dec-2017 16:20:26, 95556.1, 0, 139.278, 391.643, 829.407, 82153.4, 0
26-Dec-2017 11:17:27, 105262, 157.13, 139.435, 398.279, 839.957, 83059.6, 90046.4
03-Jan-2018 11:01:38, 165197, 183.965, 143.05, 444.34, 928.293, 89318.7, 107672
28-Mar-2018 12:33:33, 181151, 191.228, 144.778, 458.074, 958.533, 91177.3, 112692
19-Jan-2018 17:10:33, 0, 0, 0, 0, 0, 0, 0
29-Dec-2017 11:13:36, 94858.1, 0, 0, 391.174, 0, 82089.4, 87185.5
30-Dec-2017 06:43:53, 224358, 0, 151.078, 498.378, 1054.63, 96617.4, 126983
18-Jan-2018 04:17:05, 271267, 233.193, 160.594, 547.278, 1182.45, 103196, 143645
13-Dec-2017 03:50:51, 102024, 0, 139.37, 396.04, 836.321, 82753.9, 89149.7
31-Mar-2018 10:14:20, 103357, 156.289, 139.395, 396.959, 837.804, 82879.4, 89518.1
13-Dec-2017 04:25:31, 168734, 185.571, 143.405, 447.331, 934.753, 89723.8, 108773
30-Dec-2017 04:05:09, 171504, 186.83, 143.695, 449.695, 939.91, 90043.8, 109640
28-Mar-2018 07:41:17, 215638, 0, 149.616, 489.878, 1033.57, 95471.7, 124017
17-Jan-2018 08:28:07, 185630, 193.276, 145.322, 462.041, 967.531, 91713.7, 114127
13-Dec-2017 15:54:55, 102182, 0, 139.372, 396.149, 836.496, 82768.8, 89193.3
28-Mar-2018 23:21:27, 221670, 209.898, 150.617, 495.738, 1048.05, 96261.7, 126064
26-Dec-2017 16:48:15, 191.949, 0, 0, 338.626, 0, 0, 0
13-Dec-2017 22:55:45, 216716, 207.598, 149.792, 490.919, 1036.12, 95612, 124381
26-Dec-2017 03:22:45, 228359, 213.012, 151.781, 502.34, 1064.58, 97151.2, 128357
31-Mar-2018 11:15:05, 154678, 179.204, 142.086, 435.624, 909.902, 88137.5, 104437
12-Jan-2018 04:49:42, 233451, 215.388, 152.705, 507.438, 1077.5, 97837.9, 130119
26-Dec-2017 09:24:12, 105117, 0, 139.432, 398.179, 839.792, 83045.8, 90006.1
31-Mar-2018 13:44:11, 208404, 203.75, 148.477, 482.967, 1016.73, 94539.6, 121588
31-Mar-2018 22:40:52, 91869.2, 151.23, 139.249, 389.182, 825.674, 81817.1, 86374.4
21-Feb-2018 08:30:13, 105433, 157.205, 139.439, 398.398, 840.153, 83075.8, 90093.9
28-Mar-2018 18:30:16, 0, 0, 0, 0, 0, 0, 0
12-Dec-2017 21:51:12, 0, 0, 0, 0, 0, 0, 0
16-Jan-2018 18:43:21, 0, 0, 0, 0, 0, 0, 0
26-Dec-2017 09:02:54, 99353.9, 154.523, 139.325, 394.212, 833.411, 82504.4, 88414.5
01-Nov-2017 21:30:40, 0.411026, 0, 0, 0, 0, 0, 0
29-Dec-2017 03:45:51, 125715, 166.208, 140.158, 413.015, 865.616, 85067.1, 95841.9
27-Mar-2018 01:15:15, 183935, 192.5, 145.113, 460.534, 964.1, 91510, 113583
22-Feb-2018 06:16:28, 34994.7, 126.57, 140.99, 355.41, 787.22, 77176.3, 71866
19-Jan-2018 02:43:51, 187970, 194.347, 145.616, 464.133, 972.321, 91996.4, 114880
13-Jan-2018 16:26:27, 180767, 191.052, 144.733, 457.736, 957.772, 91131.6, 112570
22-Feb-2018 22:57:05, 222435, 0, 150.748, 496.487, 1049.91, 96362.7, 126325
12-Dec-2017 14:31:52, 203334, 201.409, 147.718, 478.199, 1005.28, 93896.2, 119903
13-Dec-2017 01:11:56, 98881.3, 0, 139.318, 393.891, 832.904, 82460.5, 88284.8
12-Jan-2018 13:15:31, 179357, 190.409, 144.568, 456.498, 954.991, 90964.3, 112121
22-Feb-2018 18:14:14, 1.6441, 0, 0, 0, 0, 0, 0
27-Mar-2018 08:46:32, 79540.5, 0, 0, 381.193, 0, 80723.8, 0
21-Feb-2018 20:25:45, 0, 0, 0, 0, 0, 0, 0
18-Jan-2018 20:03:16, 2.46615, 0, 0, 0, 0, 0, 0
12-Dec-2017 01:25:51, 180240, 190.812, 144.671, 457.273, 956.73, 91069, 112402
27-Mar-2018 08:12:20, 180144, 190.768, 144.66, 457.188, 956.541, 91057.6, 112371
28-Mar-2018 12:20:43, 175214, 188.519, 144.098, 452.89, 946.949, 90476.2, 110808
12-Dec-2017 10:22:43, 25123.5, 0, 0, 350.35, 0, 76475.6, 69526.7
13-Dec-2017 01:22:07, 87031.8, 0, 139.238, 386.003, 821.005, 81382.3, 85072.1
30-Dec-2017 15:24:05, 263546, 229.534, 158.836, 538.861, 1159.73, 102065, 140820
31-Mar-2018 18:27:50, 213029, 205.89, 149.198, 487.371, 1027.43, 95133.6, 123138
13-Jan-2018 00:48:34, 247278, 221.865, 155.38, 521.602, 1114.03, 99744.3, 134975
23-Dec-2017 08:21:18, 180241, 190.812, 144.671, 457.274, 956.732, 91069.1, 112402
26-Dec-2017 05:43:48, 102403, 0, 139.377, 396.301, 836.741, 82789.5, 89254.3
29-Mar-2018 15:26:03, 249756, 223.03, 155.885, 524.189, 1120.8, 100092, 135856
26-Dec-2017 13:20:25, 152.079, 0, 0, 338.608, 0, 0, 0
13-Dec-2017 22:55:44, 247015, 221.742, 155.327, 521.328, 1113.31, 99707.4, 134881
12-Dec-2017 11:45:51, 167081, 184.82, 143.237, 445.929, 931.717, 89534, 108258
12-Dec-2017 13:15:45, 1633.01, 0, 0, 339.262, 0, 0, 0
12-Dec-2017 16:53:15, 2726.33, 0, 0, 339.748, 0, 0, 0
01-Nov-2017 12:23:14, 212108, 0, 149.052, 486.489, 1025.28, 95014.8, 122828
23-Dec-2017 18:17:28, 84527.8, 148.011, 139.244, 0, 818.69, 81160.2, 84403
30-Dec-2017 14:41:42, 215497, 207.033, 149.594, 489.742, 1033.23, 95453.4, 123969
04-Jan-2018 23:01:59, 112742, 160.44, 139.638, 403.55, 848.802, 83778.3, 92139.6
13-Jan-2018 16:23:10, 179301, 190.383, 144.561, 456.449, 954.882, 90957.7, 112103
22-Feb-2018 15:52:03, 205147, 0, 147.985, 479.897, 1009.34, 94125.3, 120504
12-Jan-2018 19:46:40, 0, 0, 0, 0, 0, 0, 0
16-Jan-2018 23:02:51, 122953, 164.977, 140.029, 410.966, 0, 84788.2, 95046
22-Feb-2018 02:34:06, 217860, 0, 149.98, 492.026, 1038.85, 95761.4, 124769
01-Nov-2017 12:33:43, 229678, 0, 152.017, 503.654, 1067.9, 97328.3, 128812
11-Jan-2018 12:16:12, 88386.5, 0, 0, 386.887, 0, 81503.3, 85435.5
23-Dec-2017 20:29:51, 251095, 223.66, 156.161, 525.594, 1124.49, 100281, 136333
28-Mar-2018 02:49:40, 185218, 193.087, 145.271, 461.674, 966.694, 91664.1, 113994
28-Mar-2018 07:28:47, 236028, 216.592, 153.185, 510.043, 1084.14, 98188.6, 131016
11-Jan-2018 15:00:57, 95137.6, 152.667, 139.274, 391.362, 0, 82115, 87261.5
16-Jan-2018 18:20:18, 0, 0, 0, 0, 0, 0, 0
21-Feb-2018 21:47:49, 1.23308, 0, 0, 0, 0, 0, 0
28-Mar-2018 16:21:27, 224310, 0, 151.07, 498.33, 1054.51, 96611.1, 126966
12-Jan-2018 12:12:48, 149837, 177.02, 141.69, 431.703, 901.851, 87605.7, 102969
12-Dec-2017 21:41:40, 0, 0, 0, 0, 0, 0, 0
03-Jan-2018 20:32:35, 0, 0, 0, 0, 0, 0, 0
21-Feb-2018 21:07:28, 0, 0, 0, 0, 0, 0, 0
30-Dec-2017 00:09:47, 120434, 163.856, 139.92, 409.113, 858.546, 84536, 94323.7
31-Mar-2018 11:06:25, 220673, 209.435, 150.449, 494.763, 1045.63, 96130.3, 125724
18-Jan-2018 01:46:24, 187683, 194.216, 145.579, 463.875, 971.73, 91961.7, 114788
31-Mar-2018 10:38:08, 217479, 207.952, 149.917, 491.657, 1037.94, 95711.6, 124640
12-Jan-2018 19:52:37, 0, 0, 0, 0, 0, 0, 0
17-Jan-2018 14:27:34, 58675.1, 0, 139.768, 368.515, 798.864, 78983.5, 77693.4
01-Nov-2017 12:23:13, 239460, 0, 153.838, 513.536, 1093.11, 98658.9, 132217
01-Nov-2017 14:17:18, 108110, 0, 139.504, 400.27, 843.252, 83331.1, 90839.8
03-Jan-2018 14:58:14, 100171, 154.883, 139.338, 394.77, 834.293, 82580.5, 88639.1
12-Jan-2018 13:54:44, 172608, 187.333, 143.813, 450.642, 941.988, 90172, 109987
22-Feb-2018 15:06:01, 81372, 0, 139.262, 382.356, 815.872, 80883.1, 83564.5
28-Mar-2018 08:00:01, 209157, 204.098, 148.592, 483.68, 1018.46, 94635.8, 121840
23-Dec-2017 18:23:45, 232286, 214.844, 152.491, 506.266, 1074.52, 97680.1, 129715
27-Mar-2018 13:49:19, 186678, 193.755, 145.452, 462.976, 969.669, 91840.1, 114464
11-Jan-2018 06:38:04, 176846, 189.263, 144.28, 454.307, 950.095, 90667.8, 111324
03-Jan-2018 11:40:41, 20392.6, 0, 142.098, 348.009, 783.145, 76150.8, 68424.4
13-Dec-2017 04:13:01, 79762, 145.927, 139.277, 381.333, 814.477, 80743, 83138.8
12-Dec-2017 23:04:40, 89360.3, 150.129, 139.24, 387.526, 0, 81590.7, 85697.4
21-Feb-2018 13:30:27, 115334, 161.59, 139.725, 405.409, 852.012, 84031.5, 92872
28-Mar-2018 22:12:57, 1997.58, 0, 0, 339.424, 0, 0, 0
12-Jan-2018 22:50:31, 214459, 206.552, 149.426, 488.743, 1030.78, 95318.6, 123619
17-Jan-2018 04:40:34, 181526, 191.399, 144.823, 458.404, 959.278, 91222, 112812
13-Jan-2018 07:58:48, 182824, 191.992, 144.978, 459.55, 961.868, 91376.9, 113227
19-Jan-2018 11:30:41, 178026, 189.801, 144.414, 455.335, 952.387, 90806.9, 111698
12-Dec-2017 18:57:40, 0, 0, 0, 0, 0, 0, 0
12-Jan-2018 22:12:07, 77520.3, 144.949, 139.302, 379.919, 812.582, 80549.2, 82548.4
21-Feb-2018 15:08:41, 166197, 184.419, 143.149, 445.182, 930.105, 89432.8, 107983
13-Jan-2018 03:30:45, 182595, 191.888, 144.951, 459.347, 961.41, 91349.6, 113154
27-Mar-2018 23:08:05, 88236.5, 149.636, 139.238, 0, 822.143, 81489.9, 85395.2
26-Dec-2017 19:50:29, 0, 0, 0, 0, 0, 0, 0
30-Dec-2017 19:09:40, 98289.4, 0, 0, 393.488, 0, 82405.6, 88122.5
12-Dec-2017 21:00:46, 4.52128, 0, 0, 0, 0, 0, 0
12-Dec-2017 03:48:13, 95889.4, 0, 139.281, 391.867, 829.752, 82184.1, 87466.4
28-Mar-2018 07:41:15, 207594, 0, 148.353, 482.201, 1014.88, 94436.2, 121318
30-Dec-2017 10:21:39, 182581, 191.881, 144.949, 459.335, 961.382, 91347.9, 113149
03-Jan-2018 21:46:58, 3885.01, 0, 0, 340.267, 0, 75073.1, 64673.1
18-Jan-2018 16:58:47, 0, 0, 0, 0, 0, 0, 0
22-Feb-2018 23:25:32, 239379, 0, 153.822, 513.454, 1092.9, 98647.8, 132188
12-Dec-2017 21:07:08, 0, 0, 0, 0, 0, 0, 0
22-Feb-2018 23:40:38, 213905, 0, 149.337, 488.211, 1029.48, 95246.9, 123433
29-Dec-2017 22:45:16, 97622.8, 0, 139.301, 393.037, 831.566, 82343.9, 87940
29-Mar-2018 15:26:06, 222405, 210.24, 150.743, 496.458, 1049.84, 96358.7, 126315
31-Mar-2018 22:44:35, 97067.4, 153.516, 0, 392.661, 830.981, 82292.6, 87788.1
12-Jan-2018 17:39:22, 1.23308, 0, 0, 0, 0, 0, 0
16-Jan-2018 05:20:35, 178589, 190.058, 144.479, 455.826, 953.486, 90873.4, 111877
22-Feb-2018 18:37:35, 0, 0, 0, 0, 0, 0, 0
29-Mar-2018 02:46:59, 70107, 141.719, 139.432, 375.33, 806.715, 79919.8, 80615.5
04-Jan-2018 19:18:04, 0, 0, 0, 0, 0, 0, 0
01-Nov-2017 16:17:08, 220154, 0, 150.361, 494.257, 1044.37, 96062, 125548
29-Mar-2018 03:56:42, 236064, 0, 153.192, 510.079, 1084.24, 98193.5, 131029
26-Dec-2017 22:22:48, 98846.3, 0, 139.318, 393.867, 832.866, 82457.2, 88275.2
31-Mar-2018 20:16:39, 183628, 192.36, 145.076, 460.261, 963.482, 91473.2, 113484
12-Dec-2017 20:33:43, 0, 0, 0, 0, 0, 0, 0
13-Jan-2018 23:52:27, 226141, 211.978, 151.389, 500.139, 1059.04, 96854.7, 127594
01-Nov-2017 06:17:13, 229897, 0, 152.057, 503.873, 1068.45, 97357.8, 128888
01-Nov-2017 10:11:52, 94646.9, 152.451, 139.269, 391.033, 828.473, 82070.1, 0
11-Jan-2018 01:36:17, 183119, 192.127, 145.014, 459.811, 962.459, 91412.2, 113321
13-Dec-2017 18:57:56, 0, 0, 0, 0, 0, 0, 0
03-Jan-2018 21:42:50, 3827.88, 0, 0, 340.241, 0, 75069.5, 64660.4
16-Jan-2018 03:31:08, 182834, 191.997, 144.98, 459.559, 961.888, 91378.1, 113230
27-Mar-2018 04:59:47, 181746, 191.5, 144.849, 458.598, 959.716, 91248.2, 112882
26-Dec-2017 21:38:09, 0, 0, 0, 0, 0, 0, 0
