Timestamp, Aggregate_Active_Power, Estimates
23-Oct-2017 12:32:19, 0.4215, 0.142756, 0.144164
26-Oct-2017 19:30:50, 0, 0, 0
24-Oct-2017 12:00:03, 0.8622, 0.255671, 0.158107
24-Oct-2017 22:55:03, 0, 0, 0
24-Oct-2017 12:57:09, 0.8223, 0.241254, 0.157421
24-Oct-2017 10:51:35, 1.0705, 0.34805, 0.159663
24-Oct-2017 10:45:05, 0.6117, 0.180061, 0.151853
23-Oct-2017 14:35:45, 0.7073, 0.204915, 0
24-Oct-2017 12:48:06, 0.8403, 0.247637, 0.157745
24-Oct-2017 12:47:52, 0.9009, 0.270606, 0.158655
27-Oct-2017 11:31:10, 0, 0, 0
28-Oct-2017 00:29:40, 0, 0, 0
26-Oct-2017 08:37:24, 0.914, 0, 0.158814
24-Oct-2017 10:34:03, 1.56, 0.704981, 0.148787
24-Oct-2017 10:51:30, 1.073, 0.349347, 0.159661
26-Oct-2017 08:45:36, 2.1116, 0, 0.108741
24-Oct-2017 13:13:35, 0.9227, 0.279446, 0.158913
23-Oct-2017 10:48:57, 2.0968, 1.39415, 0.110238
24-Oct-2017 10:48:47, 1.0347, 0.329989, 0.159644
24-Oct-2017 21:06:56, 0, 0, 0
26-Oct-2017 08:36:06, 1.6356, 0, 0.145135
28-Oct-2017 12:31:09, 0, 0, 0
23-Oct-2017 10:49:08, 2.1652, 1.50915, 0.103113
26-Oct-2017 09:57:51, 0.5573, 0.167858, 0.149903
24-Oct-2017 10:34:27, 1.494, 0.643538, 0.151526
26-Oct-2017 11:44:47, 0.5462, 0.165529, 0
26-Oct-2017 08:45:21, 2.0993, 0, 0.109987
26-Oct-2017 06:44:48, 0, 0, 0
23-Oct-2017 12:12:01, 0.7321, 0.212128, 0.155431
24-Oct-2017 09:45:36, 1.7877, 0, 0.136073
24-Oct-2017 13:05:00, 0.9202, 0.278416, 0.158885
24-Oct-2017 10:34:16, 1.5259, 0.672664, 0.150254
24-Oct-2017 10:35:48, 1.3109, 0.495974, 0.156996
24-Oct-2017 09:18:11, 1.1359, 0, 0.159426
24-Oct-2017 12:16:45, 0.8244, 0.241989, 0.15746
26-Oct-2017 11:27:36, 0.528, 0.161822, 0
24-Oct-2017 12:33:33, 0.8723, 0.259476, 0.158261
