Timestamp, Aggregate_Active_Power, Estimate_0, Estimate_1, Estimate_2, Estimate_3, Estimate_4, Estimate_5
31-Mar-2018 10:14:15, 105632, 461.772, 12861.1, 3978.06, 5413.54, 34477.2, 36618.6
18-Jan-2018 21:19:56, 0, 0, 0, 0, 0, 0, 0
27-Mar-2018 00:37:50, 185581, 4775.8, 16693.5, 4481.66, 6504.42, 39253.2, 42941.6
13-Dec-2017 16:20:26, 95556.1, 0, 12465.7, 3919.12, 5319.44, 33939.7, 0
26-Dec-2017 11:17:27, 105262, 445.152, 12846.2, 3975.88, 5409.91, 34457.2, 36592.6
03-Jan-2018 11:01:38, 165197, 3539.24, 15599.1, 4347.2, 6168.21, 37949.2, 41197.5
28-Mar-2018 12:33:33, 181151, 4499.1, 16448.8, 4452.08, 6427.97, 38964.8, 42554.9
19-Jan-2018 17:10:33, 0, 0, 0, 0, 0, 0, 0
29-Dec-2017 11:13:36, 94858.1, 0, 0, 3915.07, 0, 33903, 35872.8
30-Dec-2017 06:43:53, 224358, 0, 18996.8, 4748.88, 7253.73, 41896.9, 46509
18-Jan-2018 04:17:05, 271267, 10996.6, 22171.3, 5092.19, 8352.42, 45380.6, 51261.6
13-Dec-2017 03:50:51, 102024, 0, 12717.3, 3956.84, 5378.73, 34283, 36366
31-Mar-2018 10:14:20, 103357, 360.065, 12770.1, 3964.66, 5391.44, 34354.5, 36459
13-Dec-2017 04:25:31, 168734, 3747.1, 15783.3, 4370.23, 6223.7, 38171.2, 41493.6
30-Dec-2017 04:05:09, 171504, 3911.85, 15929.2, 4388.36, 6267.99, 38346.4, 41727.5
28-Mar-2018 07:41:17, 215638, 0, 18453.5, 4687.48, 7072.69, 41283.8, 45678.3
17-Jan-2018 08:28:07, 185630, 4778.88, 16696.2, 4481.98, 6505.28, 39256.4, 42945.9
13-Dec-2017 15:54:55, 102182, 0, 12723.5, 3957.76, 5380.23, 34291.5, 36377
28-Mar-2018 23:21:27, 221670, 7194.42, 18827.8, 4729.87, 7197.14, 41706.7, 46251.2
26-Dec-2017 16:48:15, 191.949, 0, 0, 3411.41, 0, 0, 0
13-Dec-2017 22:55:45, 216716, 6845.05, 18519.9, 4695.03, 7094.68, 41359, 45780.1
26-Dec-2017 03:22:45, 228359, 7674.91, 19251, 4777.3, 7339.23, 42181.8, 46895.7
31-Mar-2018 11:15:05, 154678, 2937.71, 15065.8, 4279.44, 6010.26, 37299.4, 40332.7
12-Jan-2018 04:49:42, 233451, 8047.43, 19579, 4813.71, 7450.25, 42547.7, 47392.9
26-Dec-2017 09:24:12, 105117, 0, 12840.4, 3975.02, 5408.49, 34449.3, 36582.4
31-Mar-2018 13:44:11, 208404, 6271.28, 18014, 4637.12, 6928.02, 40783.3, 45001.7
