# Bin Center, Frequency Count, Left Edges, Right Edges
-3.186692651515151738e+03,1.000000000000000000e+00,-3.786230000000000018e+03,-2.587155303030303003e+03
-1.987617954545454722e+03,1.000000000000000000e+00,-2.587155303030303003e+03,-1.388080606060606442e+03
-7.885432575757579343e+02,9.000000000000000000e+00,-1.388080606060606442e+03,-1.890059090909094266e+02
4.105314393939388538e+02,1.261540000000000000e+05,-1.890059090909094266e+02,1.010068787878787134e+03
1.609606136363635414e+03,8.000000000000000000e+00,1.010068787878787134e+03,2.209143484848483695e+03
2.808680833333332430e+03,2.080000000000000000e+02,2.209143484848483695e+03,3.408218181818181165e+03
4.007755530303029445e+03,1.139600000000000000e+05,3.408218181818181165e+03,4.607292878787877271e+03
5.206830227272726006e+03,1.202100000000000000e+04,4.607292878787877271e+03,5.806367575757574741e+03
6.405904924242423476e+03,3.248000000000000000e+03,5.806367575757574741e+03,7.005442272727272211e+03
7.604979621212120037e+03,2.140000000000000000e+03,7.005442272727272211e+03,8.204516969696967863e+03
8.804054318181817507e+03,1.255000000000000000e+03,8.204516969696967863e+03,9.403591666666665333e+03
1.000312901515151316e+04,9.890000000000000000e+02,9.403591666666665333e+03,1.060266636363636280e+04
1.120220371212121063e+04,1.091000000000000000e+03,1.060266636363636280e+04,1.180174106060605845e+04
1.240127840909090628e+04,1.578000000000000000e+03,1.180174106060605845e+04,1.300081575757575411e+04
1.360035310606060375e+04,1.653000000000000000e+03,1.300081575757575411e+04,1.419989045454545339e+04
1.479942780303030122e+04,1.779000000000000000e+03,1.419989045454545339e+04,1.539896515151514905e+04
1.599850249999999687e+04,2.001000000000000000e+03,1.539896515151514905e+04,1.659803984848484470e+04
1.719757719696969434e+04,2.024000000000000000e+03,1.659803984848484470e+04,1.779711454545454399e+04
1.839665189393939363e+04,1.520000000000000000e+03,1.779711454545454399e+04,1.899618924242423964e+04
1.959572659090908564e+04,1.181000000000000000e+03,1.899618924242423964e+04,2.019526393939393529e+04
2.079480128787878493e+04,1.106000000000000000e+03,2.019526393939393529e+04,2.139433863636363458e+04
2.199387598484848422e+04,1.101000000000000000e+03,2.139433863636363458e+04,2.259341333333333023e+04
2.319295068181817624e+04,1.248000000000000000e+03,2.259341333333333023e+04,2.379248803030302588e+04
2.439202537878787552e+04,1.449000000000000000e+03,2.379248803030302588e+04,2.499156272727272517e+04
